smile,osmb,med1,med2,fexo,adip,siga,zale,pdop,rano
CCC(C)(C)Br,1.3310364904170346e-06,0.07692307692307693,0.018328426045080243,2.7453388548412133e-07,2.9931273969774224e-05,2.3113456716826404e-17,8.305895500294473e-10,0.0046077990290988215,0.0
CCCN(CCC1=CC=CC(C2=CC=CC=C2)=C1)C(=O)C3OC(C(=O)O)=CC(N)C3NC(C)=O,0.5994967059463198,0.04622172432372863,0.11373356313368792,0.6846963314352336,0.45033010425376047,4.191299699104499e-10,1.049136170429033e-09,0.39086797998528583,0.04447687825283748
CC1(C)OCC2OC3(C4OC(C)(C)OC4CO)OC(C)(C)OC3C2O1,0.4328428551321344,0.10164601662307148,0.03141533489740341,0.36050015984393785,0.06952267955664661,2.5469043252025675e-05,5.109233929717462e-06,0.004819163389828799,0.003981999800611082
CC1=CC(COC2=CC=C(NC(=O)C3CN(C)CCC3C(=O)NO)C=C2)=C4C=CC=CC4=N1,0.47125914080313414,0.07894736842105263,0.1569767171139282,0.6385304564349757,0.1662494988632025,1.7528359902092955e-07,8.834050797789434e-07,0.13271068495285177,0.10420467662683054
CCOC(=O)C1=CC=C(O)C(N2C=C3C(=C2C4=CC=CC=C4)C(=O)N(C)C(=O)N3C)=C1,0.5717246130170762,0.044538017593489125,0.1678386594791329,0.5621779091413361,0.1782786757149016,0.00209445346883233,0.013237224904499233,0.006169820190283253,0.049990232841494606
CCCCC1(C)CC(CO)C(CCCC)(OC)OO1,0.00955131164238614,0.09363291775690445,0.04680534659928238,0.02420853932828285,0.005592131962786394,4.894487373754568e-08,4.24169871427425e-06,0.00629647387809793,0.055861823630907484
C1CCCCCCCCCCCNC2=CC=CC3=C(C=CC=C23)C(=O)N1CCC4NCCCNCCNCCCNC4C,0.020824508045951064,0.050392977723902506,0.10169822227953433,0.3094360627828429,0.11789528981022057,0.0,0.0,0.27583864218368526,0.5365598615708224
NC1=CC(C2CCNCC2)=CC(NC3CCCC3)=N1,0.08887874217607282,0.082558881056403,0.0769284640704274,0.15539813204277206,0.25298221281347033,0.01354664315482169,0.007117888548826851,0.12948823588594707,0.03272033574132457
COC(=O)C1CCC(C)C(C2=CC=C(C)C=C2)N1C(=O)C3=CC=C(C=NOCC(O)COCC4=CC=CO4)C=C3,0.13809096935459525,0.08195375470622296,0.10888297136406945,0.598067160852792,0.1681256376734078,4.926149490966981e-22,2.5330797912813846e-19,0.14541711730645995,0.33247745968873993
CCOC(=O)C1(CC2=CC=CC=C2C)CCCN(C(=O)CCC(=O)OC)C1,0.19625190273897866,0.08070466898086172,0.11909737772024015,0.3822234479605368,0.19747129441775582,0.00020508019818285916,7.1243967243703375e-06,0.17123856078951985,0.057042123840054776
O=C1NC2=CC=CC=C2C(=O)N3C=C(C4=CC=C(Cl)C(Cl)=C4)CC13,0.008670155049768079,0.0372570207962461,0.15599800743313483,0.03517875916737253,0.1638394395873192,1.4985671628482412e-09,0.0797923397230782,0.19316685232156394,0.11515773771948828
N=C(N)NC1=CC=CN=C1C2CC(O)C(NC(=N)N)CC2NC(=N)N,0.6368308667353573,0.06632365324280728,0.05379017765849216,0.46824713925343403,0.10540214799996023,2.918930235893722e-64,0.00027381362439217786,0.10784422053659808,4.4471336299552694e-05
CON(C)S(=O)(=O)C1=CC=C2C(=C1)N(CC3=CC=C(C)C=C3)C(=O)C4CCCN24,0.17171868452240316,0.09335200560186732,0.17024359601855046,0.3317734515277128,0.14796104990258613,0.0022331858984024834,0.0013918526798338462,0.3308912980041792,0.055721678673973325
COC1=CC=C(C23OC4=CC(OC)=CC(OC)=C4C2(O)C(O)C(C(=O)NOCCO)C3C5=CC=CC=C5)C=C1,0.6974523831920024,0.061068702290076333,0.11388078691505188,0.6247432210064315,0.008006318697731933,7.600561457257789e-15,2.792432434891487e-13,0.10651512965857526,0.026283959181342506
COC1=CC=CC=2C=C(C3=NC4=C(C(=O)N(C)C(=O)N4C)N3C)OC1=2,0.5619829953399686,0.04538167656120387,0.16651179595024032,0.40955855026027543,0.14656667762468564,0.07320535897915319,0.25404773731937697,0.004201895736967153,0.010257030865313687
N=C(O)C(N=C(O)C1=CN=C(N2CC(F)(F)C2)C(OCC3CC3)=N1)C4=CC=C(Cl)C=C4,0.24717802462010935,0.07026664081300897,0.10243716418748944,0.5917396580919396,0.13006502375572224,1.0002325249397616e-09,0.05308286539239189,0.3261640365267211,0.19370909306525558
C=CCC1=CC=CC=C1OCC(O)CNC2(C)CCCC(C(C)(C)NC(=O)CBr)C2,0.08023490595842311,0.11346292964333403,0.0989429263924597,0.3249800012522169,0.15454027643871737,7.906640666866347e-13,3.838347127377469e-14,0.14212422736980695,0.1792865336184447
CN(C)C1=CC=C(C(=S)N2CCOCC2)C=C1Br,7.298049370488643e-05,0.07452180019419576,0.10567049305145203,5.5244224575558225e-05,0.11328511922558343,5.370740163215899e-10,0.035506780753019336,0.09788390567505298,0.00714466874495166
CCCC(=O)N1CCC1(C)C(=O)NS(=O)(=O)C2=CC3=C(C=C2C)CCCS3(=O)=O,0.6521808888540921,0.08250412530940078,0.10204893185850918,0.5463041218116397,0.373772500798201,3.1141530827919587e-07,0.00021997645690451702,0.1531140337536916,0.011261076801363078
CC1=NOC(C)=C1C(=O)N2CCC(N3C=CC=N3)CC2,0.12371782521660349,0.10948978029027179,0.1072964819083899,0.15944246547725993,0.3415650255319866,0.09665283608984736,0.09321249469262675,0.3362193900727166,0.017906880300429282
O=C(CCNC(=O)N1CC(=O)NC2=CC=CC=C21)NCCC3=CC=CC(F)=C3,0.594341852296733,0.018781205660633703,0.13067339849998957,0.5992397488641533,0.45573271518765,0.048708083793751016,0.0754516357259124,0.30692490702242564,0.03503683213922393
CC1(C)C(=N)NC2(C3=CC(NC(=O)C4=CC=C(Cl)C=N4)=CC=C3F)COCC2S1(=O)=O,0.5618066787054761,0.06999217403987522,0.11752666968744288,0.5670076763294473,0.14583200293501813,3.3836872556430415e-06,0.05759344987095731,0.2754306972098739,0.052657464448149546
NCCCCCCCCCCCCNCC1=CN(C2CCC(CO)O2)C(=O)N=N1,0.5167245989127627,0.0660377358490566,0.057770049686465555,0.5246051751911169,0.10440060295922954,3.026201677955242e-11,5.17687873348683e-16,0.11130970251408635,0.036586306249629365
COC1=CC(C=NNC(=O)C(OC)C2=CC=C3C(=C2)OCCO3)=CC=C1Cl,0.26215117185473996,0.05450043146345697,0.12880976033504282,0.43219936612839144,0.41901374569812083,0.008348028736664948,0.14709974489721123,0.26919095102908275,0.07360032737085467
CC(=O)N1NC(=C2C(=O)N(C)C(=O)N(C)C2=O)CC1C3=CC=CC=C3,0.6134297941912024,0.07455400992070726,0.16677429771867683,0.49853800335063486,0.45643546458763845,0.0010447779939481388,0.24272460949140992,0.10784422053659808,0.004767563961724648
CCN(CC)C(=S)NC=1SC(C(N)=O)=C(C)C=1C(=O)O,0.5618692204258945,0.05846054221936677,0.058886257800062194,0.42772861568810727,0.007375591167172445,0.033628019963455096,0.023760736895697982,0.1473252023112832,0.02109882451172281
CCC=1C=C(C(=O)NC2CC(C(=O)NCCOC)N(C(=O)C3=COC4=CC=CC=C34)C2)N(C)N=1,0.7572253863084989,0.06837606837606838,0.1534023977141941,0.5964931606327233,0.17525521539111025,1.1844500709404247e-08,1.1020059425372548e-07,0.15435878456583893,0.015465708649595518
NC1=NC=CC2=C1N=CN2C3CC(CBr)C(O)C3O,0.67390196364845,0.05953405577875872,0.07203902247034613,0.4970587554791083,0.28867513459481287,0.0001036567419086927,0.013364320335238308,0.27975144247209416,0.0037092112958438733
CC1=C(C(=O)OCC(=O)N2CCCC2=O)OC3=CC=CC=C13,0.33554596693600547,0.06189844605901729,0.15140786712611864,0.4253250510691836,0.49099025303098287,0.15660037161351503,0.09067368809155345,0.36980013081681945,0.02845572107210369
COC1=CC(C=NNC2=NC3=C(C(=O)N(C)C(=O)N3C)N2CC4=CC=CC=C4)=CC=C1OC(=O)C5=CC=CO5,0.542195624024363,0.031312920097443325,0.15401600641672974,0.5126406955025559,0.007661981459318443,4.641797203183982e-12,9.892988490291118e-07,3.2788067856225086e-05,0.05916531876743574
COC1=CN(CC(N)=O)C(CSC2=NC=CC(C)=N2)=CC1=O,0.7616556644017829,0.036563621206356534,0.11453191255440524,0.468524270124821,0.16020935202387315,0.00010654876679183574,0.10412976823708493,0.2862991671569341,0.00423968069282523
CN(C)CCOC1=CC=C(N2C=CN=C2)C=C1,0.0016223566838238686,0.03244428422615251,0.0961617493179703,0.0013627117970081769,0.13006502375572224,3.2330313068171666e-06,0.03811227172398646,0.22941573387056177,0.005343197237145897
CC(C)C(NC(=O)CCC(C(C)CO)NC(=O)CN(C(=O)OCC1=CC=CC=C1)P(=O)O)OC(=O)O,0.638022611445519,0.04930237677696731,0.07290503227037926,0.556575393651002,0.0080209287804999,8.097541953914235e-36,1.2406026370611605e-13,0.1501861529550426,0.019128353029321008
CC1=CC=CC=C1C2=NC(N)=NC(O)=C2Cl,0.21198725799801213,0.028169014084507043,0.1095993248702382,0.26254192698010814,0.16858353857861885,0.0169666342905457,8.026938314643545e-05,0.13303802104754786,0.03239483296906175
CC(=O)NC1=CC(F)=CC=C1CN2CC3=C(C(O)=C4N=CC=CC4=C3N(C)S(C)(=O)=O)C2=O,0.5756530792304649,0.05235673853646194,0.15166169270957316,0.5364679159251545,0.13952072924908943,1.433053725964758e-06,0.009867672310607405,0.10903008145771258,0.060477290085113725
C=CS(=O)(=O)C1=CC=CC(NC2=CC(S(=O)(=O)O)=C(N)C3=C2C(=O)C4=CC=CC=C4C3=O)=C1,0.476204236230803,0.014804393806534588,0.1304776852601671,0.47956864843012625,0.13181094112134575,2.7093268595118637e-18,0.027761421072402353,0.06586098491904609,0.06284153146793857
CC1=NN(C2=CC=CC=C2)C(C)=C1CC(=O)NC3CC(=O)N(C)C3,0.18972998777417227,0.08804509063256238,0.1575602256633499,0.22888084705292705,0.45834924851410563,0.020360831767082987,0.08249613115809891,0.322490309931942,0.00978606095722941
C=C(C)C1CC=C(COC(C)=O)CCC(O)C(C)=CCC=C(C)CC1,0.001707462105609084,0.1273859510596964,0.08213297650452213,0.01949844438514251,0.007112357862639631,5.708214640800837e-22,1.17585394376689e-09,0.007508679883778561,0.21739403446788055
NS(=O)(=O)C1=CC=CC=C1CC(O)CC(CC2=CC=CC=C2)C(=O)NC3C4=CC=CC=C4CC3O,0.6241022022877897,0.048494086333552844,0.10658754794424603,0.6499970115217331,0.15316042491783857,1.128800024055574e-11,1.471416178749019e-09,0.11444196299376268,0.03791042644084461
